,ghi,dni,dhi,temp_air,wind_speed,Power[w]
2022-01-01 00:00:00,0.0,0.0,253.0,2.1,6.2,-300.0
2022-01-01 00:15:00,0.0,0.0,251.25,0.5750000000000002,5.15,-300.0
2022-01-01 00:30:00,0.0,0.0,249.5,-0.9499999999999997,4.1,-300.0
2022-01-01 00:45:00,0.0,0.0,247.75,-2.474999999999999,3.05,-300.0
2022-01-01 01:00:00,0.0,0.0,246.0,-4.0,2.0,-300.0
2022-01-01 01:15:00,0.0,0.0,245.5,-3.9,1.75,-300.0
2022-01-01 01:30:00,0.0,0.0,245.0,-3.8,1.5,-300.0
2022-01-01 01:45:00,0.0,0.0,244.5,-3.7,1.25,-300.0
2022-01-01 02:00:00,0.0,0.0,244.0,-3.6,1.0,-300.0
2022-01-01 02:15:00,0.0,0.0,246.25,-3.725,0.975,-300.0
2022-01-01 02:30:00,0.0,0.0,248.5,-3.8499999999999996,0.95,-300.0
2022-01-01 02:45:00,0.0,0.0,250.75,-3.9749999999999996,0.925,-300.0
2022-01-01 03:00:00,0.0,0.0,253.0,-4.1,0.9,-300.0
2022-01-01 03:15:00,0.0,0.0,248.0,-4.2749999999999995,0.9,-300.0
2022-01-01 03:30:00,0.0,0.0,243.0,-4.449999999999999,0.9,-300.0
2022-01-01 03:45:00,0.0,0.0,238.0,-4.625,0.9,-300.0
2022-01-01 04:00:00,0.0,0.0,233.0,-4.8,0.9,-300.0
2022-01-01 04:15:00,0.0,0.0,238.25,-4.95,0.85,-300.0
2022-01-01 04:30:00,0.0,0.0,243.5,-5.1,0.8,-300.0
2022-01-01 04:45:00,0.0,0.0,248.75,-5.25,0.75,-300.0
2022-01-01 05:00:00,0.0,0.0,254.0,-5.4,0.7,-300.0
2022-01-01 05:15:00,0.0,0.0,257.0,-4.300000000000001,0.5249999999999999,-300.0
2022-01-01 05:30:00,0.0,0.0,260.0,-3.2,0.35,-300.0
2022-01-01 05:45:00,0.0,0.0,263.0,-2.1,0.17500000000000004,-300.0
2022-01-01 06:00:00,0.0,0.0,266.0,-1.0,0.0,-300.0
2022-01-01 06:15:00,0.0,0.0,270.25,-1.0,0.0,-300.0
2022-01-01 06:30:00,0.0,0.0,274.5,-1.0,0.0,-300.0
2022-01-01 06:45:00,0.0,0.0,278.75,-1.0,0.0,-300.0
2022-01-01 07:00:00,0.0,0.0,283.0,-1.0,0.0,-300.0
2022-01-01 07:15:00,6.75,18.25,283.5,-1.0,0.525,-300.0
2022-01-01 07:30:00,13.5,36.5,284.0,-1.0,1.05,-300.0
2022-01-01 07:45:00,20.25,54.75,284.5,-1.0,1.5750000000000002,-300.0
2022-01-01 08:00:00,27.0,73.0,285.0,-1.0,2.1,-300.0
2022-01-01 08:15:00,36.0,82.0,285.25,-1.0,1.9500000000000002,-300.0
2022-01-01 08:30:00,45.0,91.0,285.5,-1.0,1.8,-300.0
2022-01-01 08:45:00,54.0,100.0,285.75,-1.0,1.65,27615.4768817127
2022-01-01 09:00:00,63.0,109.0,286.0,-1.0,1.5,22908.90137677455
2022-01-01 09:15:00,68.25,99.0,286.75,-0.75,1.775,19814.46649593235
2022-01-01 09:30:00,73.5,89.0,287.5,-0.5,2.05,18178.245510535446
2022-01-01 09:45:00,78.75,79.0,288.25,-0.25,2.325,17028.502046337184
2022-01-01 10:00:00,84.0,69.0,289.0,0.0,2.6,16074.21751966185
2022-01-01 10:15:00,89.75,75.25,290.5,0.0,2.6,16578.18645293812
2022-01-01 10:30:00,95.5,81.5,292.0,0.0,2.6,17111.01121108192
2022-01-01 10:45:00,101.25,87.75,293.5,0.0,2.6,17666.20112702161
2022-01-01 11:00:00,107.0,94.0,295.0,0.0,2.6,18238.525577061046
2022-01-01 11:15:00,115.5,122.0,294.75,0.0,2.6,20463.64488916925
2022-01-01 11:30:00,124.0,150.0,294.5,0.0,2.6,22684.40180784865
2022-01-01 11:45:00,132.5,178.0,294.25,0.0,2.6,24896.480517756227
2022-01-01 12:00:00,141.0,206.0,294.0,0.0,2.6,27094.788526344786
2022-01-01 12:15:00,136.5,209.5,291.25,0.0,2.6,27181.82850832715
2022-01-01 12:30:00,132.0,213.0,288.5,0.0,2.6,27264.637522001623
2022-01-01 12:45:00,127.5,216.5,285.75,0.0,2.6,27341.641515433686
2022-01-01 13:00:00,123.0,220.0,283.0,0.0,2.6,27411.400837029443
2022-01-01 13:15:00,108.0,197.25,287.0,0.0,2.725,25883.407990057673
2022-01-01 13:30:00,93.0,174.5,291.0,0.0,2.85,24334.299719446313
2022-01-01 13:45:00,78.0,151.75,295.0,0.0,2.975,22769.847039615543
2022-01-01 14:00:00,63.0,129.0,299.0,0.0,3.1,21195.63256083612
2022-01-01 14:15:00,53.0,110.25,297.25,0.0,2.85,19581.33757099921
2022-01-01 14:30:00,43.0,91.5,295.5,0.0,2.6,17986.525809955445
2022-01-01 14:45:00,33.0,72.75,293.75,0.0,2.35,16408.786742892436
2022-01-01 15:00:00,23.0,54.0,292.0,0.0,2.1,14837.813799012954
2022-01-01 15:15:00,18.0,40.5,294.0,0.0,2.225,13932.154346661797
2022-01-01 15:30:00,13.0,27.0,296.0,0.0,2.35,12998.952462932946
2022-01-01 15:45:00,8.0,13.5,298.0,0.0,2.475,12019.67703710646
2022-01-01 16:00:00,3.0,0.0,300.0,0.0,2.6,11006.374929169324
2022-01-01 16:15:00,2.25,0.0,297.25,0.0,2.6,11515.24654375419
2022-01-01 16:30:00,1.5,0.0,294.5,0.0,2.6,-300.0
2022-01-01 16:45:00,0.75,0.0,291.75,0.0,2.6,-300.0
2022-01-01 17:00:00,0.0,0.0,289.0,0.0,2.6,-300.0
2022-01-01 17:15:00,0.0,0.0,291.25,0.0,2.725,-300.0
2022-01-01 17:30:00,0.0,0.0,293.5,0.0,2.85,-300.0
2022-01-01 17:45:00,0.0,0.0,295.75,0.0,2.975,-300.0
2022-01-01 18:00:00,0.0,0.0,298.0,0.0,3.1,-300.0
2022-01-01 18:15:00,0.0,0.0,292.75,0.0,3.1,-300.0
2022-01-01 18:30:00,0.0,0.0,287.5,0.0,3.1,-300.0
2022-01-01 18:45:00,0.0,0.0,282.25,0.0,3.1,-300.0
2022-01-01 19:00:00,0.0,0.0,277.0,0.0,3.1,-300.0
2022-01-01 19:15:00,0.0,0.0,280.0,0.0,3.225,-300.0
2022-01-01 19:30:00,0.0,0.0,283.0,0.0,3.35,-300.0
2022-01-01 19:45:00,0.0,0.0,286.0,0.0,3.475,-300.0
2022-01-01 20:00:00,0.0,0.0,289.0,0.0,3.6,-300.0
2022-01-01 20:15:00,0.0,0.0,289.5,0.25,3.475,-300.0
2022-01-01 20:30:00,0.0,0.0,290.0,0.5,3.35,-300.0
2022-01-01 20:45:00,0.0,0.0,290.5,0.75,3.225,-300.0
2022-01-01 21:00:00,0.0,0.0,291.0,1.0,3.1,-300.0
2022-01-01 21:15:00,0.0,0.0,295.0,0.75,3.225,-300.0
2022-01-01 21:30:00,0.0,0.0,299.0,0.5,3.35,-300.0
2022-01-01 21:45:00,0.0,0.0,303.0,0.25,3.475,-300.0
2022-01-01 22:00:00,0.0,0.0,307.0,0.0,3.6,-300.0
2022-01-01 22:15:00,0.0,0.0,307.0,0.45,3.75,-300.0
2022-01-01 22:30:00,0.0,0.0,307.0,0.9,3.9000000000000004,-300.0
2022-01-01 22:45:00,0.0,0.0,307.0,1.35,4.05,-300.0
2022-01-01 23:00:00,0.0,0.0,307.0,1.8,4.2,-300.0
2022-01-01 23:15:00,0.0,0.0,307.5,2.275,4.35,-300.0
2022-01-01 23:30:00,0.0,0.0,308.0,2.75,4.5,-300.0
2022-01-01 23:45:00,0.0,0.0,308.5,3.225,4.65,-300.0
2022-01-02 00:00:00,0.0,0.0,309.0,3.7,4.8,-300.0
2022-01-02 00:15:00,0.0,0.0,309.0,4.575,5.0,-300.0
2022-01-02 00:30:00,0.0,0.0,309.0,5.45,5.199999999999999,-300.0
2022-01-02 00:45:00,0.0,0.0,309.0,6.325,5.3999999999999995,-300.0
2022-01-02 01:00:00,0.0,0.0,309.0,7.2,5.6,-300.0
2022-01-02 01:15:00,0.0,0.0,308.75,6.6,5.225,-300.0
2022-01-02 01:30:00,0.0,0.0,308.5,6.0,4.85,-300.0
2022-01-02 01:45:00,0.0,0.0,308.25,5.4,4.475,-300.0
2022-01-02 02:00:00,0.0,0.0,308.0,4.8,4.1,-300.0
2022-01-02 02:15:00,0.0,0.0,308.25,4.2,3.6999999999999997,-300.0
2022-01-02 02:30:00,0.0,0.0,308.5,3.5999999999999996,3.3,-300.0
2022-01-02 02:45:00,0.0,0.0,308.75,3.0,2.9,-300.0
2022-01-02 03:00:00,0.0,0.0,309.0,2.4,2.5,-300.0
2022-01-02 03:15:00,0.0,0.0,307.25,1.7999999999999998,2.125,-300.0
2022-01-02 03:30:00,0.0,0.0,305.5,1.2,1.75,-300.0
2022-01-02 03:45:00,0.0,0.0,303.75,0.6000000000000001,1.375,-300.0
2022-01-02 04:00:00,0.0,0.0,302.0,0.0,1.0,-300.0
2022-01-02 04:15:00,0.0,0.0,302.5,0.0,1.0,-300.0
2022-01-02 04:30:00,0.0,0.0,303.0,0.0,1.0,-300.0
2022-01-02 04:45:00,0.0,0.0,303.5,0.0,1.0,-300.0
2022-01-02 05:00:00,0.0,0.0,304.0,0.0,1.0,-300.0
2022-01-02 05:15:00,0.0,0.0,297.0,0.0,1.125,-300.0
2022-01-02 05:30:00,0.0,0.0,290.0,0.0,1.25,-300.0
2022-01-02 05:45:00,0.0,0.0,283.0,0.0,1.375,-300.0
2022-01-02 06:00:00,0.0,0.0,276.0,0.0,1.5,-300.0
2022-01-02 06:15:00,0.0,0.0,277.75,-0.25,1.375,-300.0
2022-01-02 06:30:00,0.0,0.0,279.5,-0.5,1.25,-300.0
2022-01-02 06:45:00,0.0,0.0,281.25,-0.75,1.125,-300.0
2022-01-02 07:00:00,0.0,0.0,283.0,-1.0,1.0,-300.0
2022-01-02 07:15:00,9.0,23.25,281.75,-1.0,0.875,-300.0
2022-01-02 07:30:00,18.0,46.5,280.5,-1.0,0.75,-300.0
2022-01-02 07:45:00,27.0,69.75,279.25,-1.0,0.625,-300.0
2022-01-02 08:00:00,36.0,93.0,278.0,-1.0,0.5,-300.0
2022-01-02 08:15:00,50.0,117.5,276.75,-0.75,0.375,-300.0
2022-01-02 08:30:00,64.0,142.0,275.5,-0.5,0.25,-300.0
2022-01-02 08:45:00,78.0,166.5,274.25,-0.25,0.125,36138.47421366626
2022-01-02 09:00:00,92.0,191.0,273.0,0.0,0.0,30212.777962116503
2022-01-02 09:15:00,106.0,195.25,271.25,0.0,0.125,27150.558618282812
2022-01-02 09:30:00,120.0,199.5,269.5,0.0,0.25,26005.582821757955
2022-01-02 09:45:00,134.0,203.75,267.75,0.0,0.375,25558.344890723343
2022-01-02 10:00:00,148.0,208.0,266.0,0.0,0.5,25430.548335918378
2022-01-02 10:15:00,153.25,191.75,269.5,0.25,0.625,24267.721093328735
2022-01-02 10:30:00,158.5,175.5,273.0,0.5,0.75,23188.357279408814
2022-01-02 10:45:00,163.75,159.25,276.5,0.75,0.875,22142.908431407544
2022-01-02 11:00:00,169.0,143.0,280.0,1.0,1.0,21103.869393714955
2022-01-02 11:15:00,163.0,120.25,280.0,1.5,0.75,19267.237641483483
2022-01-02 11:30:00,157.0,97.5,280.0,2.0,0.5,17429.40543850401
2022-01-02 11:45:00,151.0,74.75,280.0,2.5,0.25,15586.403288043502
2022-01-02 12:00:00,145.0,52.0,280.0,3.0,0.0,13738.354741836494
2022-01-02 12:15:00,135.75,51.0,282.0,2.75,0.0,13757.922078832335
2022-01-02 12:30:00,126.5,50.0,284.0,2.5,0.0,13779.247997712477
2022-01-02 12:45:00,117.25,49.0,286.0,2.25,0.0,13802.712044463438
2022-01-02 13:00:00,108.0,48.0,288.0,2.0,0.0,13828.701264166753
2022-01-02 13:15:00,98.0,46.75,289.5,2.0,0.0,13790.098742813776
2022-01-02 13:30:00,88.0,45.5,291.0,2.0,0.0,13755.059417083125
2022-01-02 13:45:00,78.0,44.25,292.5,2.0,0.0,13724.560568527526
2022-01-02 14:00:00,68.0,43.0,294.0,2.0,0.0,13700.024139012874
2022-01-02 14:15:00,58.0,35.75,293.25,2.0,0.125,13093.182229367147
2022-01-02 14:30:00,48.0,28.5,292.5,2.0,0.25,12492.195567818782
2022-01-02 14:45:00,38.0,21.25,291.75,2.0,0.375,11893.588458185273
2022-01-02 15:00:00,28.0,14.0,291.0,2.0,0.5,11289.298544252735
2022-01-02 15:15:00,22.0,10.5,292.25,1.75,0.625,11108.35043996529
2022-01-02 15:30:00,16.0,7.0,293.5,1.5,0.75,10912.656917129349
2022-01-02 15:45:00,10.0,3.5,294.75,1.25,0.875,10719.708971009873
2022-01-02 16:00:00,4.0,0.0,296.0,1.0,1.0,10660.762950759487
2022-01-02 16:15:00,3.0,0.0,292.5,0.75,1.0,11166.94854819597
2022-01-02 16:30:00,2.0,0.0,289.0,0.5,1.0,-300.0
2022-01-02 16:45:00,1.0,0.0,285.5,0.25,1.0,-300.0
2022-01-02 17:00:00,0.0,0.0,282.0,0.0,1.0,-300.0
2022-01-02 17:15:00,0.0,0.0,280.75,-0.25,1.125,-300.0
2022-01-02 17:30:00,0.0,0.0,279.5,-0.5,1.25,-300.0
2022-01-02 17:45:00,0.0,0.0,278.25,-0.75,1.375,-300.0
2022-01-02 18:00:00,0.0,0.0,277.0,-1.0,1.5,-300.0
2022-01-02 18:15:00,0.0,0.0,279.75,-1.0,1.5,-300.0
2022-01-02 18:30:00,0.0,0.0,282.5,-1.0,1.5,-300.0
2022-01-02 18:45:00,0.0,0.0,285.25,-1.0,1.5,-300.0
2022-01-02 19:00:00,0.0,0.0,288.0,-1.0,1.5,-300.0
2022-01-02 19:15:00,0.0,0.0,272.0,-1.25,1.775,-300.0
2022-01-02 19:30:00,0.0,0.0,256.0,-1.5,2.05,-300.0
2022-01-02 19:45:00,0.0,0.0,240.0,-1.75,2.325,-300.0
2022-01-02 20:00:00,0.0,0.0,224.0,-2.0,2.6,-300.0
2022-01-02 20:15:00,0.0,0.0,225.0,-1.75,2.475,-300.0
2022-01-02 20:30:00,0.0,0.0,226.0,-1.5,2.35,-300.0
2022-01-02 20:45:00,0.0,0.0,227.0,-1.25,2.225,-300.0
2022-01-02 21:00:00,0.0,0.0,228.0,-1.0,2.1,-300.0
2022-01-02 21:15:00,0.0,0.0,227.75,-1.0,2.225,-300.0
2022-01-02 21:30:00,0.0,0.0,227.5,-1.0,2.35,-300.0
2022-01-02 21:45:00,0.0,0.0,227.25,-1.0,2.475,-300.0
2022-01-02 22:00:00,0.0,0.0,227.0,-1.0,2.6,-300.0
2022-01-02 22:15:00,0.0,0.0,228.5,-0.44999999999999996,2.775,-300.0
2022-01-02 22:30:00,0.0,0.0,230.0,0.10000000000000009,2.95,-300.0
2022-01-02 22:45:00,0.0,0.0,231.5,0.6500000000000001,3.125,-300.0
2022-01-02 23:00:00,0.0,0.0,233.0,1.2,3.3,-300.0
2022-01-02 23:15:00,0.0,0.0,237.75,1.7249999999999999,3.4749999999999996,-300.0
2022-01-02 23:30:00,0.0,0.0,242.5,2.25,3.65,-300.0
2022-01-02 23:45:00,0.0,0.0,247.25,2.7749999999999995,3.825,-300.0
2022-01-03 00:00:00,0.0,0.0,252.0,3.3,4.0,-300.0
2022-01-03 00:15:00,0.0,0.0,260.25,3.825,3.6,-300.0
2022-01-03 00:30:00,0.0,0.0,268.5,4.35,3.2,-300.0
2022-01-03 00:45:00,0.0,0.0,276.75,4.875,2.8,-300.0
2022-01-03 01:00:00,0.0,0.0,285.0,5.4,2.4,-300.0
2022-01-03 01:15:00,0.0,0.0,285.0,4.7,2.375,-300.0
2022-01-03 01:30:00,0.0,0.0,285.0,4.0,2.3499999999999996,-300.0
2022-01-03 01:45:00,0.0,0.0,285.0,3.3000000000000003,2.3249999999999997,-300.0
2022-01-03 02:00:00,0.0,0.0,285.0,2.6,2.3,-300.0
2022-01-03 02:15:00,0.0,0.0,285.0,1.9,2.275,-300.0
2022-01-03 02:30:00,0.0,0.0,285.0,1.2,2.25,-300.0
2022-01-03 02:45:00,0.0,0.0,285.0,0.5,2.225,-300.0
2022-01-03 03:00:00,0.0,0.0,285.0,-0.2,2.2,-300.0
2022-01-03 03:15:00,0.0,0.0,285.75,-0.8999999999999999,2.1750000000000003,-300.0
2022-01-03 03:30:00,0.0,0.0,286.5,-1.5999999999999999,2.1500000000000004,-300.0
2022-01-03 03:45:00,0.0,0.0,287.25,-2.3,2.125,-300.0
2022-01-03 04:00:00,0.0,0.0,288.0,-3.0,2.1,-300.0
2022-01-03 04:15:00,0.0,0.0,284.75,-3.25,1.9500000000000002,-300.0
2022-01-03 04:30:00,0.0,0.0,281.5,-3.5,1.8,-300.0
2022-01-03 04:45:00,0.0,0.0,278.25,-3.75,1.65,-300.0
2022-01-03 05:00:00,0.0,0.0,275.0,-4.0,1.5,-300.0
2022-01-03 05:15:00,0.0,0.0,272.5,-4.0,1.775,-300.0
2022-01-03 05:30:00,0.0,0.0,270.0,-4.0,2.05,-300.0
2022-01-03 05:45:00,0.0,0.0,267.5,-4.0,2.325,-300.0
2022-01-03 06:00:00,0.0,0.0,265.0,-4.0,2.6,-300.0
2022-01-03 06:15:00,0.0,0.0,269.0,-4.0,2.475,-300.0
2022-01-03 06:30:00,0.0,0.0,273.0,-4.0,2.35,-300.0
2022-01-03 06:45:00,0.0,0.0,277.0,-4.0,2.225,-300.0
2022-01-03 07:00:00,0.0,0.0,281.0,-4.0,2.1,-300.0
2022-01-03 07:15:00,8.25,20.25,275.0,-3.75,1.8250000000000002,-300.0
2022-01-03 07:30:00,16.5,40.5,269.0,-3.5,1.55,-300.0
2022-01-03 07:45:00,24.75,60.75,263.0,-3.25,1.275,-300.0
2022-01-03 08:00:00,33.0,81.0,257.0,-3.0,1.0,-300.0
2022-01-03 08:15:00,41.5,83.75,257.0,-3.25,1.275,-300.0
2022-01-03 08:30:00,50.0,86.5,257.0,-3.5,1.55,-300.0
2022-01-03 08:45:00,58.5,89.25,257.0,-3.75,1.8250000000000002,23339.095554793545
2022-01-03 09:00:00,67.0,92.0,257.0,-4.0,2.1,19020.04177713521
2022-01-03 09:15:00,74.0,75.5,258.75,-3.75,1.8250000000000002,15956.775157817323
2022-01-03 09:30:00,81.0,59.0,260.5,-3.5,1.55,14123.453452869946
2022-01-03 09:45:00,88.0,42.5,262.25,-3.25,1.275,12675.606659775636
2022-01-03 10:00:00,95.0,26.0,264.0,-3.0,1.0,11364.483447942066
2022-01-03 10:15:00,100.5,32.0,272.0,-3.0,1.525,12258.669128961723
2022-01-03 10:30:00,106.0,38.0,280.0,-3.0,2.05,13163.72924816848
2022-01-03 10:45:00,111.5,44.0,288.0,-3.0,2.575,14082.633022333099
2022-01-03 11:00:00,117.0,50.0,296.0,-3.0,3.1,15016.381680554981
2022-01-03 11:15:00,116.5,50.0,296.25,-2.75,2.975,14981.976127067597
2022-01-03 11:30:00,116.0,50.0,296.5,-2.5,2.85,14953.335090377008
2022-01-03 11:45:00,115.5,50.0,296.75,-2.25,2.725,14928.914732223433
2022-01-03 12:00:00,115.0,50.0,297.0,-2.0,2.6,14907.86836632728
2022-01-03 12:15:00,109.75,43.0,293.25,-1.5,2.325,14065.463217008702
2022-01-03 12:30:00,104.5,36.0,289.5,-1.0,2.05,13233.406103203213
2022-01-03 12:45:00,99.25,29.0,285.75,-0.5,1.775,12412.13277073844
2022-01-03 13:00:00,94.0,22.0,282.0,0.0,1.5,11602.261617588994
2022-01-03 13:15:00,84.5,20.5,284.0,0.25,1.5,11551.749206892116
2022-01-03 13:30:00,75.0,19.0,286.0,0.5,1.5,11505.408110020944
2022-01-03 13:45:00,65.5,17.5,288.0,0.75,1.5,11463.638726857178
2022-01-03 14:00:00,56.0,16.0,290.0,1.0,1.5,11426.759377103155
2022-01-03 14:15:00,47.5,14.5,291.75,0.75,1.5,11418.874144755822
2022-01-03 14:30:00,39.0,13.0,293.5,0.5,1.5,11415.240125908893
2022-01-03 14:45:00,30.5,11.5,295.25,0.25,1.5,11414.185830508242
2022-01-03 15:00:00,22.0,10.0,297.0,0.0,1.5,11412.482882582033
2022-01-03 15:15:00,17.5,7.5,296.75,-0.5,1.5,11245.093175377522
2022-01-03 15:30:00,13.0,5.0,296.5,-1.0,1.5,11063.21605430091
2022-01-03 15:45:00,8.5,2.5,296.25,-1.5,1.5,10884.249425941965
2022-01-03 16:00:00,4.0,0.0,296.0,-2.0,1.5,10837.460564583014
2022-01-03 16:15:00,3.0,0.0,294.75,-2.25,1.125,11464.159139542899
2022-01-03 16:30:00,2.0,0.0,293.5,-2.5,0.75,-300.0
2022-01-03 16:45:00,1.0,0.0,292.25,-2.75,0.375,-300.0
2022-01-03 17:00:00,0.0,0.0,291.0,-3.0,0.0,-300.0
2022-01-03 17:15:00,0.0,0.0,290.75,-3.25,0.0,-300.0
2022-01-03 17:30:00,0.0,0.0,290.5,-3.5,0.0,-300.0
2022-01-03 17:45:00,0.0,0.0,290.25,-3.75,0.0,-300.0
2022-01-03 18:00:00,0.0,0.0,290.0,-4.0,0.0,-300.0
2022-01-03 18:15:00,0.0,0.0,287.0,-4.25,0.25,-300.0
2022-01-03 18:30:00,0.0,0.0,284.0,-4.5,0.5,-300.0
2022-01-03 18:45:00,0.0,0.0,281.0,-4.75,0.75,-300.0
2022-01-03 19:00:00,0.0,0.0,278.0,-5.0,1.0,-300.0
2022-01-03 19:15:00,0.0,0.0,279.5,-5.5,0.75,-300.0
2022-01-03 19:30:00,0.0,0.0,281.0,-6.0,0.5,-300.0
2022-01-03 19:45:00,0.0,0.0,282.5,-6.5,0.25,-300.0
2022-01-03 20:00:00,0.0,0.0,284.0,-7.0,0.0,-300.0
2022-01-03 20:15:00,0.0,0.0,284.5,-6.75,0.0,-300.0
2022-01-03 20:30:00,0.0,0.0,285.0,-6.5,0.0,-300.0
2022-01-03 20:45:00,0.0,0.0,285.5,-6.25,0.0,-300.0
2022-01-03 21:00:00,0.0,0.0,286.0,-6.0,0.0,-300.0
2022-01-03 21:15:00,0.0,0.0,283.5,-6.5,0.375,-300.0
2022-01-03 21:30:00,0.0,0.0,281.0,-7.0,0.75,-300.0
2022-01-03 21:45:00,0.0,0.0,278.5,-7.5,1.125,-300.0
2022-01-03 22:00:00,0.0,0.0,276.0,-8.0,1.5,-300.0
2022-01-03 22:15:00,0.0,0.0,275.5,-7.5,1.375,-300.0
2022-01-03 22:30:00,0.0,0.0,275.0,-7.0,1.25,-300.0
2022-01-03 22:45:00,0.0,0.0,274.5,-6.5,1.125,-300.0
2022-01-03 23:00:00,0.0,0.0,274.0,-6.0,1.0,-300.0
2022-01-03 23:15:00,0.0,0.0,271.25,-5.1,1.3,-300.0
2022-01-03 23:30:00,0.0,0.0,268.5,-4.2,1.6,-300.0
2022-01-03 23:45:00,0.0,0.0,265.75,-3.3,1.9000000000000001,-300.0
2022-01-04 00:00:00,0.0,0.0,263.0,-2.4,2.2,-300.0
2022-01-04 00:15:00,0.0,0.0,261.5,-0.9249999999999998,2.475,-300.0
2022-01-04 00:30:00,0.0,0.0,260.0,0.5500000000000003,2.75,-300.0
2022-01-04 00:45:00,0.0,0.0,258.5,2.025000000000001,3.025,-300.0
2022-01-04 01:00:00,0.0,0.0,257.0,3.5,3.3,-300.0
2022-01-04 01:15:00,0.0,0.0,256.75,2.8,3.15,-300.0
2022-01-04 01:30:00,0.0,0.0,256.5,2.1,3.0,-300.0
2022-01-04 01:45:00,0.0,0.0,256.25,1.4000000000000004,2.85,-300.0
2022-01-04 02:00:00,0.0,0.0,256.0,0.7,2.7,-300.0
2022-01-04 02:15:00,0.0,0.0,255.25,-0.025000000000000133,2.5500000000000003,-300.0
2022-01-04 02:30:00,0.0,0.0,254.5,-0.7500000000000002,2.4000000000000004,-300.0
2022-01-04 02:45:00,0.0,0.0,253.75,-1.4750000000000003,2.25,-300.0
2022-01-04 03:00:00,0.0,0.0,253.0,-2.2,2.1,-300.0
2022-01-04 03:15:00,0.0,0.0,255.0,-2.9000000000000004,1.9500000000000002,-300.0
2022-01-04 03:30:00,0.0,0.0,257.0,-3.6,1.8,-300.0
2022-01-04 03:45:00,0.0,0.0,259.0,-4.3,1.65,-300.0
2022-01-04 04:00:00,0.0,0.0,261.0,-5.0,1.5,-300.0
2022-01-04 04:15:00,0.0,0.0,265.0,-4.75,1.5,-300.0
2022-01-04 04:30:00,0.0,0.0,269.0,-4.5,1.5,-300.0
2022-01-04 04:45:00,0.0,0.0,273.0,-4.25,1.5,-300.0
2022-01-04 05:00:00,0.0,0.0,277.0,-4.0,1.5,-300.0
2022-01-04 05:15:00,0.0,0.0,275.0,-4.0,1.5,-300.0
2022-01-04 05:30:00,0.0,0.0,273.0,-4.0,1.5,-300.0
2022-01-04 05:45:00,0.0,0.0,271.0,-4.0,1.5,-300.0
2022-01-04 06:00:00,0.0,0.0,269.0,-4.0,1.5,-300.0
2022-01-04 06:15:00,0.0,0.0,271.5,-4.0,1.5,-300.0
2022-01-04 06:30:00,0.0,0.0,274.0,-4.0,1.5,-300.0
2022-01-04 06:45:00,0.0,0.0,276.5,-4.0,1.5,-300.0
2022-01-04 07:00:00,0.0,0.0,279.0,-4.0,1.5,-300.0
2022-01-04 07:15:00,12.25,39.0,267.75,-4.0,1.5,-300.0
2022-01-04 07:30:00,24.5,78.0,256.5,-4.0,1.5,-300.0
2022-01-04 07:45:00,36.75,117.0,245.25,-4.0,1.5,-300.0
2022-01-04 08:00:00,49.0,156.0,234.0,-4.0,1.5,-300.0
2022-01-04 08:15:00,70.5,213.5,233.25,-4.25,1.375,-300.0
2022-01-04 08:30:00,92.0,271.0,232.5,-4.5,1.25,-300.0
2022-01-04 08:45:00,113.5,328.5,231.75,-4.75,1.125,51835.80060023198
2022-01-04 09:00:00,135.0,386.0,231.0,-5.0,1.0,44384.8246162588
2022-01-04 09:15:00,155.75,419.0,227.0,-5.0,0.75,41340.493166143126
2022-01-04 09:30:00,176.5,452.0,223.0,-5.0,0.5,41039.44474240234
2022-01-04 09:45:00,197.25,485.0,219.0,-5.0,0.25,41789.61973883367
2022-01-04 10:00:00,218.0,518.0,215.0,-5.0,0.0,43039.97205375423
2022-01-04 10:15:00,232.0,542.25,213.25,-5.0,0.25,44380.663746295315
2022-01-04 10:30:00,246.0,566.5,211.5,-5.0,0.5,45898.3041509943
2022-01-04 10:45:00,260.0,590.75,209.75,-5.0,0.75,47519.93252075164
2022-01-04 11:00:00,274.0,615.0,208.0,-5.0,1.0,49194.66638593782
2022-01-04 11:15:00,275.25,620.25,208.5,-4.75,1.125,49780.785574135436
2022-01-04 11:30:00,276.5,625.5,209.0,-4.5,1.25,50344.187996292334
2022-01-04 11:45:00,277.75,630.75,209.5,-4.25,1.375,50871.051538029686
2022-01-04 12:00:00,279.0,636.0,210.0,-4.0,1.5,51354.79667876435
2022-01-04 12:15:00,267.0,622.0,210.25,-4.0,1.65,50587.36522224055
2022-01-04 12:30:00,255.0,608.0,210.5,-4.0,1.8,49765.10328072354
2022-01-04 12:45:00,243.0,594.0,210.75,-4.0,1.9500000000000002,48890.86489644465
2022-01-04 13:00:00,231.0,580.0,211.0,-4.0,2.1,47966.65122642109
2022-01-04 13:15:00,211.0,555.5,211.25,-4.0,1.8250000000000002,46164.82269629495
2022-01-04 13:30:00,191.0,531.0,211.5,-4.0,1.55,44329.31657225669
2022-01-04 13:45:00,171.0,506.5,211.75,-4.0,1.275,42469.94334665481
2022-01-04 14:00:00,151.0,482.0,212.0,-4.0,1.0,40601.676093430004
2022-01-04 14:15:00,128.25,414.25,216.75,-4.0,1.0,36330.5240892166
