HEATLOAD
Time,Heat Demand [kW],T_amb,null
2022-01-01 00:00:00,11.73475,6.855,0
2022-01-01 00:15:00,11.73475,6.46,0
2022-01-01 00:30:00,11.73475,6.205,0
2022-01-01 00:45:00,11.73475,6.1,0
2022-01-01 01:00:00,11.38975,6.1,0
2022-01-01 01:15:00,11.38975,5.97,0
2022-01-01 01:30:00,11.38975,5.515,0
2022-01-01 01:45:00,11.38975,5.3,0
2022-01-01 02:00:00,11.7485,5.365,0
2022-01-01 02:15:00,11.7485,5.2,0
2022-01-01 02:30:00,11.7485,5.515000000000001,0
2022-01-01 02:45:00,11.7485,5.53,0
2022-01-01 03:00:00,55.7745,5.550000000000001,0
2022-01-01 03:15:00,17.9335,5.65,0
2022-01-01 03:30:00,11.88675,5.925000000000001,0
2022-01-01 03:45:00,11.88675,5.9,0
2022-01-01 04:00:00,45.0985,5.835,0
2022-01-01 04:15:00,7.25525,5.93,0
2022-01-01 04:30:00,1.208,5.875,0
2022-01-01 04:45:00,1.208,5.94,0
2022-01-01 05:00:00,56.1665,5.85,0
2022-01-01 05:15:00,12.878,5.85,0
2022-01-01 05:30:00,12.27325,5.505,0
2022-01-01 05:45:00,12.27325,5.15,0
2022-01-01 06:00:00,56.3075,5.41,0
2022-01-01 06:15:00,18.45925,5.64,0
2022-01-01 06:30:00,12.41125,5.825,0
2022-01-01 06:45:00,12.41125,5.75,0
2022-01-01 07:00:00,56.44825,5.69,0
2022-01-01 07:15:00,18.5975,5.88,0
2022-01-01 07:30:00,12.54925,6.17,0
2022-01-01 07:45:00,12.54925,6.31,0
2022-01-01 08:00:00,56.46525,6.3100000000000005,0
2022-01-01 08:15:00,18.612,6.64,0
2022-01-01 08:30:00,12.56325,6.725,0
2022-01-01 08:45:00,12.56325,7.06,0
2022-01-01 09:00:00,56.385,7.17,0
2022-01-01 09:15:00,18.52925,7.4,0
2022-01-01 09:30:00,12.48025,7.715,0
2022-01-01 09:45:00,12.48025,8.0,0
2022-01-01 10:00:00,56.2915,8.445,0
2022-01-01 10:15:00,18.43325,8.86,0
2022-01-01 10:30:00,12.38375,9.22,0
2022-01-01 10:45:00,12.38375,9.66,0
2022-01-01 11:00:00,56.22525,9.895,0
2022-01-01 11:15:00,12.37525,10.37,0
2022-01-01 11:30:00,12.31475,10.705,0
2022-01-01 11:45:00,12.31475,11.05,0
2022-01-01 12:00:00,56.159,11.335,0
2022-01-01 12:15:00,18.34475,11.46,0
2022-01-01 12:30:00,12.24575,11.82,0
2022-01-01 12:45:00,12.24575,12.09,0
2022-01-01 13:00:00,56.162,12.405,0
2022-01-01 13:15:00,18.2965,12.67,0
2022-01-01 13:30:00,12.24575,12.645,0
2022-01-01 13:45:00,12.24575,12.84,0
2022-01-01 14:00:00,56.19225,12.83,0
2022-01-01 14:15:00,18.32425,13.01,0
2022-01-01 14:30:00,12.27325,13.065,0
2022-01-01 14:45:00,12.27325,12.84,0
2022-01-01 15:00:00,56.30575,12.645,0
2022-01-01 15:15:00,18.43525,12.37,0
2022-01-01 15:30:00,12.38375,11.86,0
2022-01-01 15:45:00,12.38375,11.15,0
2022-01-01 16:00:00,56.474,10.725,0
2022-01-01 16:15:00,18.601,10.68,0
2022-01-01 16:30:00,12.54925,10.395,0
2022-01-01 16:45:00,12.54925,9.74,0
2022-01-01 17:00:00,17.25975,9.46,0
2022-01-01 17:15:00,18.91925,9.12,0
2022-01-01 17:30:00,12.867,9.19,0
2022-01-01 17:45:00,12.867,8.79,0
2022-01-01 18:00:00,57.184,8.31,0
2022-01-01 18:15:00,19.30625,8.01,0
2022-01-01 18:30:00,13.2535,7.845,0
2022-01-01 18:45:00,13.2535,8.09,0
2022-01-01 19:00:00,57.159,8.030000000000001,0
2022-01-01 19:15:00,19.27875,8.21,0
2022-01-01 19:30:00,13.22575,8.42,0
2022-01-01 19:45:00,13.22575,8.71,0
2022-01-01 20:00:00,57.507,8.33,0
2022-01-01 20:15:00,19.6245,7.99,0
2022-01-01 20:30:00,13.571,8.045,0
2022-01-01 20:45:00,13.571,7.84,0
2022-01-01 21:00:00,57.6205,7.76,0
2022-01-01 21:15:00,19.73525,7.67,0
2022-01-01 21:30:00,13.6815,7.5,0
2022-01-01 21:45:00,13.6815,7.44,0
2022-01-01 22:00:00,57.775,7.130000000000001,0
2022-01-01 22:15:00,19.8875,7.11,0
2022-01-01 22:30:00,13.83325,7.16,0
2022-01-01 22:45:00,13.83325,7.25,0
2022-01-01 23:00:00,13.98525,7.12,0
2022-01-01 23:15:00,13.98525,7.01,0
2022-01-01 23:30:00,13.98525,6.859999999999999,0
2022-01-01 23:45:00,13.98525,6.53,0
2022-01-02 00:00:00,14.5235,6.4,0
2022-01-02 00:15:00,14.5235,6.4,0
2022-01-02 00:30:00,14.5235,6.385,0
2022-01-02 00:45:00,14.5235,6.43,0
2022-01-02 01:00:00,15.28275,6.25,0
2022-01-02 01:15:00,15.28275,6.11,0
2022-01-02 01:30:00,15.28275,6.19,0
2022-01-02 01:45:00,15.28275,6.15,0
2022-01-02 02:00:00,15.64175,6.2,0
2022-01-02 02:15:00,15.64175,6.01,0
2022-01-02 02:30:00,15.64175,5.805,0
2022-01-02 02:45:00,15.64175,5.6,0
2022-01-02 03:00:00,59.9015,5.535,0
2022-01-02 03:15:00,22.00175,5.46,0
2022-01-02 03:30:00,15.9455,5.5,0
2022-01-02 03:45:00,15.9455,5.4,0
2022-01-02 04:00:00,60.19425,5.335,0
2022-01-02 04:15:00,22.292,5.31,0
2022-01-02 04:30:00,16.2355,5.49,0
2022-01-02 04:45:00,16.2355,5.55,0
2022-01-02 05:00:00,60.50075,5.835,0
2022-01-02 05:15:00,22.59625,5.79,0
2022-01-02 05:30:00,16.53925,5.545,0
2022-01-02 05:45:00,16.53925,5.4,0
2022-01-02 06:00:00,60.71075,5.335,0
2022-01-02 06:15:00,22.8035,5.4,0
2022-01-02 06:30:00,16.74625,5.415,0
2022-01-02 06:45:00,16.74625,5.52,0
2022-01-02 07:00:00,60.9205,5.38,0
2022-01-02 07:15:00,23.011,5.27,0
2022-01-02 07:30:00,16.95325,5.165,0
2022-01-02 07:45:00,16.95325,5.4,0
2022-01-02 08:00:00,21.32275,5.43,0
2022-01-02 08:15:00,22.98375,5.6,0
2022-01-02 08:30:00,16.92575,5.77,0
2022-01-02 08:45:00,16.92575,6.01,0
2022-01-02 09:00:00,60.22225,6.265000000000001,0
2022-01-02 09:15:00,22.30775,6.48,0
2022-01-02 09:30:00,16.24925,6.875,0
2022-01-02 09:45:00,16.24925,7.1,0
2022-01-02 10:00:00,59.57625,7.355,0
2022-01-02 10:15:00,21.65925,7.75,0
2022-01-02 10:30:00,15.6005,8.17,0
2022-01-02 10:45:00,15.6005,8.22,0
2022-01-02 11:00:00,58.95775,8.67,0
2022-01-02 11:15:00,21.0385,9.13,0
2022-01-02 11:30:00,14.97925,9.66,0
2022-01-02 11:45:00,14.97925,10.38,0
2022-01-02 12:00:00,58.629,11.02,0
2022-01-02 12:15:00,20.7075,12.86,0
2022-01-02 12:30:00,14.64775,13.225,0
2022-01-02 12:45:00,14.64775,13.79,0
2022-01-02 13:00:00,58.61825,14.315,0
2022-01-02 13:15:00,15.24,14.98,0
2022-01-02 13:30:00,14.634,15.0,0
2022-01-02 13:45:00,14.634,14.75,0
2022-01-02 14:00:00,58.78675,14.11,0
2022-01-02 14:15:00,20.86025,13.71,0
2022-01-02 14:30:00,14.79975,13.61,0
2022-01-02 14:45:00,14.79975,13.3,0
2022-01-02 15:00:00,59.1345,13.09,0
2022-01-02 15:15:00,21.2055,13.06,0
2022-01-02 15:30:00,15.14475,12.96,0
2022-01-02 15:45:00,15.14475,12.16,0
2022-01-02 16:00:00,19.99975,11.91,0
2022-01-02 16:15:00,21.66175,11.85,0
2022-01-02 16:30:00,15.6005,11.43,0
2022-01-02 16:45:00,15.6005,10.61,0
2022-01-02 17:00:00,60.06525,10.12,0
2022-01-02 17:15:00,22.13125,10.21,0
2022-01-02 17:30:00,16.06975,10.23,0
2022-01-02 17:45:00,16.06975,10.54,0
2022-01-02 18:00:00,60.55125,10.03,0
2022-01-02 18:15:00,22.615,9.5,0
2022-01-02 18:30:00,16.553,8.48,0
2022-01-02 18:45:00,16.553,8.6,0
2022-01-02 19:00:00,61.03725,8.425,0
2022-01-02 19:15:00,23.0985,8.69,0
2022-01-02 19:30:00,17.03625,9.875,0
2022-01-02 19:45:00,17.03625,11.17,0
2022-01-02 20:00:00,61.50925,11.22,0
2022-01-02 20:15:00,23.56825,11.68,0
2022-01-02 20:30:00,17.5055,12.045,0
2022-01-02 20:45:00,17.5055,12.35,0
2022-01-02 21:00:00,61.99525,12.71,0
2022-01-02 21:15:00,24.052,13.1,0
2022-01-02 21:30:00,17.98875,13.355,0
2022-01-02 21:45:00,17.98875,13.46,0
2022-01-02 22:00:00,62.4815,13.505,0
2022-01-02 22:15:00,24.5355,13.39,0
2022-01-02 22:30:00,18.472,12.98,0
2022-01-02 22:45:00,18.472,12.7,0
2022-01-02 23:00:00,18.969,12.825,0
2022-01-02 23:15:00,18.969,13.09,0
2022-01-02 23:30:00,18.969,12.6,0
2022-01-02 23:45:00,18.969,12.33,0
2022-01-03 00:00:00,19.38325,12.005,0
2022-01-03 00:15:00,19.38325,11.85,0
2022-01-03 00:30:00,19.38325,11.7,0
2022-01-03 00:45:00,19.38325,11.7,0
2022-01-03 01:00:00,19.687,11.91,0
2022-01-03 01:15:00,19.687,11.98,0
2022-01-03 01:30:00,19.687,12.1,0
2022-01-03 01:45:00,19.687,12.06,0
2022-01-03 02:00:00,19.9905,11.855,0
2022-01-03 02:15:00,19.9905,11.69,0
2022-01-03 02:30:00,19.9905,11.5,0
2022-01-03 02:45:00,19.9905,11.43,0
2022-01-03 03:00:00,64.11075,11.345,0
2022-01-03 03:15:00,26.15275,11.62,0
2022-01-03 03:30:00,20.08725,11.88,0
2022-01-03 03:45:00,20.08725,12.15,0
2022-01-03 04:00:00,64.21025,12.32,0
2022-01-03 04:15:00,26.24975,12.24,0
2022-01-03 04:30:00,20.184,12.16,0
2022-01-03 04:45:00,20.184,11.76,0
2022-01-03 05:00:00,64.3095,11.49,0
2022-01-03 05:15:00,26.34675,11.22,0
2022-01-03 05:30:00,20.2805,11.055,0
2022-01-03 05:45:00,20.2805,10.91,0
2022-01-03 06:00:00,64.34,10.955,0
2022-01-03 06:15:00,26.37475,11.3,0
2022-01-03 06:30:00,20.30825,11.695,0
2022-01-03 06:45:00,20.30825,11.8,0
2022-01-03 07:00:00,64.37025,11.48,0
2022-01-03 07:15:00,26.40275,11.06,0
2022-01-03 07:30:00,20.33575,11.23,0
2022-01-03 07:45:00,20.33575,11.4,0
2022-01-03 08:00:00,24.4495,11.495,0
2022-01-03 08:15:00,26.113,11.64,0
2022-01-03 08:30:00,20.04575,11.535,0
2022-01-03 08:45:00,20.04575,11.41,0
2022-01-03 09:00:00,60.828,11.385,0
2022-01-03 09:15:00,22.8555,11.39,0
2022-01-03 09:30:00,16.78775,11.5,0
2022-01-03 09:45:00,16.78775,11.56,0
2022-01-03 10:00:00,57.62775,11.875,0
2022-01-03 10:15:00,19.653,12.0,0
2022-01-03 10:30:00,13.58475,12.06,0
2022-01-03 10:45:00,13.58475,12.1,0
2022-01-03 11:00:00,54.99375,12.23,0
2022-01-03 11:15:00,17.0165,12.3,0
2022-01-03 11:30:00,10.948,12.375,0
2022-01-03 11:45:00,10.948,12.4,0
2022-01-03 12:00:00,53.312,12.435,0
2022-01-03 12:15:00,15.3325,12.41,0
2022-01-03 12:30:00,9.2635,12.495,0
2022-01-03 12:45:00,9.2635,12.5,0
2022-01-03 13:00:00,53.81175,12.515,0
2022-01-03 13:15:00,15.82975,12.67,0
2022-01-03 13:30:00,9.7605,12.905,0
2022-01-03 13:45:00,9.7605,13.09,0
2022-01-03 14:00:00,53.8145,12.995,0
2022-01-03 14:15:00,15.83025,12.89,0
2022-01-03 14:30:00,9.7605,12.74,0
2022-01-03 14:45:00,9.7605,12.6,0
2022-01-03 15:00:00,53.279,12.545,0
2022-01-03 15:15:00,9.82925,12.5,0
2022-01-03 15:30:00,9.22225,12.49,0
2022-01-03 15:45:00,9.22225,12.38,0
2022-01-03 16:00:00,55.1595,12.27,0
2022-01-03 16:15:00,17.17025,12.22,0
2022-01-03 16:30:00,11.09975,12.13,0
2022-01-03 16:45:00,11.09975,12.1,0
2022-01-03 17:00:00,16.3205,12.04,0
2022-01-03 17:15:00,17.985,12.0,0
2022-01-03 17:30:00,11.91425,12.025,0
2022-01-03 17:45:00,11.91425,11.97,0
2022-01-03 18:00:00,56.808,12.01,0
2022-01-03 18:15:00,18.814,12.07,0
2022-01-03 18:30:00,12.74275,12.115,0
2022-01-03 18:45:00,12.74275,12.19,0
2022-01-03 19:00:00,57.639,11.96,0
2022-01-03 19:15:00,19.6425,11.77,0
2022-01-03 19:30:00,13.571,11.465,0
2022-01-03 19:45:00,13.571,11.4,0
2022-01-03 20:00:00,58.47,11.595,0
2022-01-03 20:15:00,20.47125,11.83,0
2022-01-03 20:30:00,14.39925,12.005,0
2022-01-03 20:45:00,14.39925,12.0,0
2022-01-03 21:00:00,59.28725,12.085,0
2022-01-03 21:15:00,21.286,12.2,0
2022-01-03 21:30:00,15.21375,12.239999999999998,0
2022-01-03 21:45:00,15.21375,12.33,0
2022-01-03 22:00:00,60.1185,12.325,0
2022-01-03 22:15:00,22.115,12.4,0
2022-01-03 22:30:00,16.04225,12.4,0
2022-01-03 22:45:00,16.04225,12.41,0
2022-01-03 23:00:00,16.8705,12.49,0
2022-01-03 23:15:00,16.8705,12.53,0
2022-01-03 23:30:00,16.8705,12.63,0
2022-01-03 23:45:00,16.8705,12.63,0
2022-01-04 00:00:00,18.113,12.445,0
2022-01-04 00:15:00,18.113,12.3,0
2022-01-04 00:30:00,18.113,12.48,0
2022-01-04 00:45:00,18.113,12.7,0
2022-01-04 01:00:00,1.9535,12.81,0
2022-01-04 01:15:00,1.9535,13.0,0
2022-01-04 01:30:00,1.9535,12.945,0
2022-01-04 01:45:00,1.9535,12.89,0
2022-01-04 02:00:00,20.97075,12.88,0
2022-01-04 02:15:00,20.97075,12.96,0
2022-01-04 02:30:00,20.97075,12.9,0
2022-01-04 02:45:00,20.97075,12.74,0
2022-01-04 03:00:00,26.16675,12.425,0
2022-01-04 03:15:00,27.8325,12.27,0
2022-01-04 03:30:00,21.75775,12.035,0
2022-01-04 03:45:00,21.75775,12.1,0
2022-01-04 04:00:00,66.6375,11.97,0
2022-01-04 04:15:00,22.6055,11.82,0
2022-01-04 04:30:00,22.54475,11.72,0
2022-01-04 04:45:00,22.54475,11.7,0
2022-01-04 05:00:00,67.427,11.815,0
2022-01-04 05:15:00,29.407,11.96,0
2022-01-04 05:30:00,23.3315,12.085,0
2022-01-04 05:45:00,23.3315,12.18,0
2022-01-04 06:00:00,68.00975,12.265,0
2022-01-04 06:15:00,29.98725,12.54,0
2022-01-04 06:30:00,23.9115,12.76,0
2022-01-04 06:45:00,23.9115,13.04,0
2022-01-04 07:00:00,68.59225,13.215,0
2022-01-04 07:15:00,30.5675,13.38,0
2022-01-04 07:30:00,24.49125,13.38,0
2022-01-04 07:45:00,24.49125,13.36,0
2022-01-04 08:00:00,68.6365,13.665,0
2022-01-04 08:15:00,30.60925,14.08,0
2022-01-04 08:30:00,24.53275,14.13,0
2022-01-04 08:45:00,24.53275,13.92,0
2022-01-04 09:00:00,67.3555,13.755,0
2022-01-04 09:15:00,29.32575,13.99,0
2022-01-04 09:30:00,23.24875,14.0,0
2022-01-04 09:45:00,23.24875,14.17,0
2022-01-04 10:00:00,66.171,14.415,0
2022-01-04 10:15:00,28.13875,14.7,0
2022-01-04 10:30:00,22.0615,14.71,0
2022-01-04 10:45:00,22.0615,14.46,0
2022-01-04 11:00:00,65.4145,14.415,0
2022-01-04 11:15:00,27.38,14.31,0
2022-01-04 11:30:00,21.30225,14.84,0
2022-01-04 11:45:00,21.30225,15.1,0
2022-01-04 12:00:00,25.24425,15.04,0
2022-01-04 12:15:00,26.91075,14.95,0
2022-01-04 12:30:00,20.83275,14.765,0
2022-01-04 12:45:00,20.83275,14.5,0
2022-01-04 13:00:00,64.82625,14.665,0
2022-01-04 13:15:00,26.787,14.8,0
2022-01-04 13:30:00,20.7085,14.65,0
2022-01-04 13:45:00,20.7085,14.36,0
2022-01-04 14:00:00,65.00825,13.415,0
2022-01-04 14:15:00,26.96675,9.81,0
2022-01-04 14:30:00,20.888,8.88,0
2022-01-04 14:45:00,20.888,8.71,0
2022-01-04 15:00:00,65.70125,8.405,0
2022-01-04 15:15:00,27.6575,8.2,0
2022-01-04 15:30:00,21.57825,8.155,0
2022-01-04 15:45:00,21.57825,7.85,0
2022-01-04 16:00:00,66.6705,7.545,0
2022-01-04 16:15:00,28.62425,7.28,0
2022-01-04 16:30:00,22.54475,7.035,0
2022-01-04 16:45:00,22.54475,6.79,0
2022-01-04 17:00:00,67.26675,6.640000000000001,0
2022-01-04 17:15:00,23.74625,6.47,0
2022-01-04 17:30:00,23.13825,6.27,0
2022-01-04 17:45:00,23.13825,6.09,0
2022-01-04 18:00:00,67.877,5.955,0
2022-01-04 18:15:00,29.826,5.9,0
2022-01-04 18:30:00,23.74575,5.815,0
2022-01-04 18:45:00,23.74575,5.7,0
2022-01-04 19:00:00,68.4735,5.665,0
2022-01-04 19:15:00,30.42025,5.64,0
2022-01-04 19:30:00,24.3395,5.545,0
2022-01-04 19:45:00,24.3395,5.47,0
2022-01-04 20:00:00,69.06975,5.29,0
2022-01-04 20:15:00,31.014,5.22,0
2022-01-04 20:30:00,24.933,5.1,0
2022-01-04 20:45:00,24.933,5.1,0
2022-01-04 21:00:00,69.68,5.045,0
2022-01-04 21:15:00,31.622,5.0,0
2022-01-04 21:30:00,25.5405,5.0600000000000005,0
2022-01-04 21:45:00,25.5405,5.2,0
2022-01-04 22:00:00,70.2765,5.2,0
2022-01-04 22:15:00,32.216,5.2,0
2022-01-04 22:30:00,26.13425,5.2,0
2022-01-04 22:45:00,26.13425,5.2,0
2022-01-04 23:00:00,26.72775,5.17,0
2022-01-04 23:15:00,26.72775,5.1,0
2022-01-04 23:30:00,26.72775,5.415,0
2022-01-04 23:45:00,26.72775,5.62,0
2022-01-05 00:00:00,26.72775,5.775,0
2022-01-05 00:15:00,26.72775,5.86,0
2022-01-05 00:30:00,26.72775,5.845,0
2022-01-05 00:45:00,26.72775,6.06,0
2022-01-05 01:00:00,26.68625,6.3100000000000005,0
2022-01-05 01:15:00,26.68625,6.32,0
2022-01-05 01:30:00,26.68625,6.1850000000000005,0
2022-01-05 01:45:00,26.68625,5.94,0
2022-01-05 02:00:00,2.6645,5.74,0
2022-01-05 02:15:00,2.6645,5.77,0
2022-01-05 02:30:00,2.6645,5.8,0
2022-01-05 02:45:00,2.6645,5.8,0
2022-01-05 03:00:00,70.88375,5.885,0
2022-01-05 03:15:00,32.8115,5.95,0
2022-01-05 03:30:00,26.72775,6.039999999999999,0
2022-01-05 03:45:00,26.72775,6.02,0
2022-01-05 04:00:00,70.72075,5.835,0
2022-01-05 04:15:00,32.646,5.89,0
2022-01-05 04:30:00,26.562,5.395,0
2022-01-05 04:45:00,26.562,4.88,0
2022-01-05 05:00:00,70.6685,4.734999999999999,0
2022-01-05 05:15:00,32.5915,4.7,0
2022-01-05 05:30:00,26.507,4.535,0
2022-01-05 05:45:00,26.507,4.22,0
2022-01-05 06:00:00,70.6295,4.05,0
2022-01-05 06:15:00,32.55025,3.87,0
2022-01-05 06:30:00,26.4655,3.665,0
2022-01-05 06:45:00,26.4655,3.48,0
2022-01-05 07:00:00,70.59075,3.415,0
2022-01-05 07:15:00,32.50925,3.37,0
2022-01-05 07:30:00,26.424,3.42,0
2022-01-05 07:45:00,26.424,3.44,0
2022-01-05 08:00:00,70.4555,3.325,0
2022-01-05 08:15:00,32.3715,3.3,0
2022-01-05 08:30:00,26.286,3.32,0
2022-01-05 08:45:00,26.286,3.23,0
2022-01-05 09:00:00,69.07775,2.975,0
2022-01-05 09:15:00,30.9915,2.89,0
2022-01-05 09:30:00,24.9055,3.1,0
2022-01-05 09:45:00,24.9055,3.15,0
2022-01-05 10:00:00,24.13225,3.42,0
2022-01-05 10:15:00,29.77675,3.37,0
2022-01-05 10:30:00,23.6905,3.425,0
2022-01-05 10:45:00,23.6905,3.73,0
2022-01-05 11:00:00,66.69475,3.935,0
2022-01-05 11:15:00,28.60375,3.98,0
2022-01-05 11:30:00,22.517,3.98,0
2022-01-05 11:45:00,22.517,3.9,0
2022-01-05 12:00:00,65.745,3.71,0
2022-01-05 12:15:00,27.6515,3.87,0
2022-01-05 12:30:00,21.5645,4.065,0
2022-01-05 12:45:00,21.5645,4.15,0
2022-01-05 13:00:00,65.22275,3.835,0
2022-01-05 13:15:00,21.6485,4.04,0
2022-01-05 13:30:00,21.03975,4.345000000000001,0
2022-01-05 13:45:00,21.03975,4.47,0
2022-01-05 14:00:00,64.9495,4.445,0
2022-01-05 14:15:00,26.8515,4.43,0
2022-01-05 14:30:00,20.76375,4.395,0
2022-01-05 14:45:00,20.76375,4.34,0
2022-01-05 15:00:00,65.4215,4.27,0
2022-01-05 15:15:00,27.32125,4.18,0
2022-01-05 15:30:00,21.233,4.125,0
2022-01-05 15:45:00,21.233,4.01,0
2022-01-05 16:00:00,66.308,4.01,0
2022-01-05 16:15:00,28.20525,4.02,0
2022-01-05 16:30:00,22.11675,3.98,0
2022-01-05 16:45:00,22.11675,3.88,0
2022-01-05 17:00:00,66.54525,3.86,0
2022-01-05 17:15:00,28.44025,3.71,0
2022-01-05 17:30:00,22.35125,3.705,0
2022-01-05 17:45:00,22.35125,3.7,0
2022-01-05 18:00:00,66.78275,3.685,0
2022-01-05 18:15:00,28.67525,3.65,0
2022-01-05 18:30:00,22.586,3.61,0
2022-01-05 18:45:00,22.586,3.62,0
2022-01-05 19:00:00,67.02,3.66,0
2022-01-05 19:15:00,28.9105,3.65,0
2022-01-05 19:30:00,22.82075,3.685,0
2022-01-05 19:45:00,22.82075,3.63,0
2022-01-05 20:00:00,67.2575,3.705,0
2022-01-05 20:15:00,23.6645,3.8,0
2022-01-05 20:30:00,23.0555,3.695,0
2022-01-05 20:45:00,23.0555,3.56,0
2022-01-05 21:00:00,67.50875,3.69,0
2022-01-05 21:15:00,29.3945,3.68,0
2022-01-05 21:30:00,23.304,3.73,0
2022-01-05 21:45:00,23.304,3.75,0
2022-01-05 22:00:00,27.9595,3.845,0
2022-01-05 22:15:00,29.6295,3.92,0
2022-01-05 22:30:00,23.53875,3.9,0
2022-01-05 22:45:00,23.53875,3.87,0
2022-01-05 23:00:00,23.77325,3.805,0
2022-01-05 23:15:00,23.77325,3.82,0
2022-01-05 23:30:00,23.77325,3.735,0
2022-01-05 23:45:00,23.77325,2.79,0
2022-01-06 00:00:00,24.726,2.2350000000000003,0
2022-01-06 00:15:00,24.726,2.1,0
2022-01-06 00:30:00,24.726,2.035,0
2022-01-06 00:45:00,24.726,1.92,0
2022-01-06 01:00:00,24.67075,1.825,0
2022-01-06 01:15:00,24.67075,1.91,0
2022-01-06 01:30:00,24.67075,1.875,0
2022-01-06 01:45:00,24.67075,1.86,0
2022-01-06 02:00:00,2.5085,1.905,0
2022-01-06 02:15:00,2.5085,1.9,0
2022-01-06 02:30:00,2.5085,1.835,0
2022-01-06 02:45:00,2.5085,1.7,0
2022-01-06 03:00:00,69.67875,1.4300000000000002,0
2022-01-06 03:15:00,31.5505,1.32,0
2022-01-06 03:30:00,25.45775,1.335,0
2022-01-06 03:45:00,25.45775,1.27,0
2022-01-06 04:00:00,70.0125,1.365,0
2022-01-06 04:15:00,31.882,1.57,0
2022-01-06 04:30:00,25.789,1.695,0
2022-01-06 04:45:00,25.789,1.81,0
2022-01-06 05:00:00,70.05675,1.75,0
2022-01-06 05:15:00,31.924,1.63,0
2022-01-06 05:30:00,25.8305,1.795,0
2022-01-06 05:45:00,25.8305,1.55,0
2022-01-06 06:00:00,46.83,1.32,0
2022-01-06 06:15:00,8.69475,1.55,0
2022-01-06 06:30:00,2.601,1.44,0
2022-01-06 06:45:00,2.601,1.41,0
2022-01-06 07:00:00,70.421,1.5750000000000002,0
2022-01-06 07:15:00,32.2835,1.69,0
2022-01-06 07:30:00,26.18925,1.815,0
2022-01-06 07:45:00,26.18925,1.89,0
2022-01-06 08:00:00,70.4235,1.94,0
2022-01-06 08:15:00,32.28375,2.0,0
2022-01-06 08:30:00,26.18925,1.94,0
2022-01-06 08:45:00,26.18925,2.01,0
2022-01-06 09:00:00,46.84075,2.08,0
2022-01-06 09:15:00,3.21325,2.2,0
2022-01-06 09:30:00,2.60375,2.205,0
2022-01-06 09:45:00,2.60375,2.29,0
2022-01-06 10:00:00,70.12525,2.33,0
2022-01-06 10:15:00,31.98075,2.57,0
2022-01-06 10:30:00,25.8855,2.87,0
2022-01-06 10:45:00,25.8855,3.06,0
2022-01-06 11:00:00,30.21325,3.055,0
2022-01-06 11:15:00,31.8845,3.21,0
2022-01-06 11:30:00,25.789,3.43,0
2022-01-06 11:45:00,25.789,3.63,0
2022-01-06 12:00:00,30.13075,4.07,0
2022-01-06 12:15:00,31.80225,4.63,0
2022-01-06 12:30:00,25.70625,4.895,0
2022-01-06 12:45:00,25.70625,5.06,0
2022-01-06 13:00:00,69.9125,4.865,0
2022-01-06 13:15:00,31.761,5.08,0
2022-01-06 13:30:00,25.66475,4.58,0
2022-01-06 13:45:00,25.66475,4.4,0
2022-01-06 14:00:00,69.929,4.484999999999999,0
2022-01-06 14:15:00,31.77525,4.6,0
2022-01-06 14:30:00,25.6785,4.6,0
2022-01-06 14:45:00,25.6785,4.54,0
2022-01-06 15:00:00,70.042,4.3100000000000005,0
2022-01-06 15:15:00,31.886,4.05,0
2022-01-06 15:30:00,25.789,3.805,0
2022-01-06 15:45:00,25.789,3.63,0
2022-01-06 16:00:00,70.22425,3.49,0
2022-01-06 16:15:00,26.57825,3.34,0
2022-01-06 16:30:00,25.9685,3.13,0
2022-01-06 16:45:00,25.9685,2.99,0
2022-01-06 17:00:00,70.517,3.075,0
2022-01-06 17:15:00,32.35625,3.04,0
2022-01-06 17:30:00,26.2585,2.765,0
2022-01-06 17:45:00,26.2585,2.55,0
2022-01-06 18:00:00,70.8645,2.12,0
2022-01-06 18:15:00,32.70175,1.66,0
2022-01-06 18:30:00,26.6035,1.375,0
2022-01-06 18:45:00,26.6035,1.2,0
2022-01-06 19:00:00,71.102,1.03,0
2022-01-06 19:15:00,32.93675,0.83,0
2022-01-06 19:30:00,26.83825,0.72,0
2022-01-06 19:45:00,26.83825,0.67,0
2022-01-06 20:00:00,71.4775,0.61,0
2022-01-06 20:15:00,33.31,0.52,0
2022-01-06 20:30:00,27.211,0.405,0
2022-01-06 20:45:00,27.211,0.45,0
2022-01-06 21:00:00,71.687,0.475,0
2022-01-06 21:15:00,33.51725,0.48,0
2022-01-06 21:30:00,27.418,0.475,0
2022-01-06 21:45:00,27.418,0.38,0
2022-01-06 22:00:00,71.9935,0.37,0
2022-01-06 22:15:00,33.8215,0.3,0
2022-01-06 22:30:00,27.72175,0.505,0
2022-01-06 22:45:00,27.72175,0.6,0
2022-01-06 23:00:00,28.01175,0.265,0
2022-01-06 23:15:00,28.01175,0.0,0
2022-01-06 23:30:00,28.01175,-0.005,0
2022-01-06 23:45:00,28.01175,-0.03,0
2022-01-07 00:00:00,28.26025,-0.025,0
2022-01-07 00:15:00,28.26025,0.07,0
2022-01-07 00:30:00,28.26025,-0.05,0
2022-01-07 00:45:00,28.26025,-0.25,0
2022-01-07 01:00:00,28.46725,-0.325,0
2022-01-07 01:15:00,28.46725,-0.36,0
2022-01-07 01:30:00,28.46725,-0.25,0
